file	line	old_label	new_label
contents/2-related-work_cleaned.tex	65		sec:ch2-3-2-neural-architecture-search
contents/2-related-work_cleaned.tex	83		sec:ch2-3-3-model-parameter-fusion
contents/2-related-work_cleaned.tex	102		sec:ch2-4-chapter-summary
contents/3-prompt-distiller_cleaned.tex	8		sec:ch3-dual-contrastive-distillation-for-few-shot-prompts
contents/3-prompt-distiller_cleaned.tex	11		sec:ch3-1-introduction
contents/3-prompt-distiller_cleaned.tex	24	sec:3-2	sec:ch3-2-problem-definition
contents/3-prompt-distiller_cleaned.tex	71	sec:3-3	sec:ch3-3-prompt-distiller-framework
contents/3-prompt-distiller_cleaned.tex	82	sec:3-3-1	sec:ch3-3-1-dual-teacher-distillation-strategy
contents/3-prompt-distiller_cleaned.tex	109	sec:3-3-2	sec:ch3-3-2-contrastive-middle-layer-transfer
contents/3-prompt-distiller_cleaned.tex	134		sec:ch3-3-3-loss-overview-and-objectives
contents/3-prompt-distiller_cleaned.tex	146	sec:3-4	sec:ch3-4-prompt-distiller-implementation
contents/3-prompt-distiller_cleaned.tex	191	sec:3-5	sec:ch3-5-experiments-and-analysis
contents/3-prompt-distiller_cleaned.tex	195	sec:3-5-1	sec:ch3-5-1-experimental-setup
contents/3-prompt-distiller_cleaned.tex	229	sec:3-5-2	sec:ch3-5-2-overall-performance-comparison
contents/3-prompt-distiller_cleaned.tex	272	sec:3-5-3	sec:ch3-5-3-ablation-analysis
contents/3-prompt-distiller_cleaned.tex	302	sec:3-5-4	sec:ch3-5-4-sample-and-model-scale-analysis
contents/3-prompt-distiller_cleaned.tex	342	sec:3-5-5	sec:ch3-5-5-case-study
contents/3-prompt-distiller_cleaned.tex	363	sec:3-6	sec:ch3-6-chapter-summary
contents/4-bridge-nas_cleaned.tex	12		sec:ch4-evolutionary-transfer-nas-heterogeneous-spaces
contents/4-bridge-nas_cleaned.tex	15		sec:ch4-1-introduction
contents/4-bridge-nas_cleaned.tex	24		sec:ch4-2-problem-background-and-motivation
contents/4-bridge-nas_cleaned.tex	39		sec:ch4-3-related-work-review
contents/4-bridge-nas_cleaned.tex	50		sec:ch4-4-transferable-evolutionary-nas-framework
contents/4-bridge-nas_cleaned.tex	89	sec:ch4_arch-encoding-and-representation-learning	sec:ch4-5-unified-encoding-and-representation-learning
contents/4-bridge-nas_cleaned.tex	92		sec:ch4-5-1-nas-tokenizer
contents/4-bridge-nas_cleaned.tex	165		sec:ch4-5-2-transformer-based-variational-autoencoder
contents/4-bridge-nas_cleaned.tex	284		sec:ch4-5-3-nas-relative-performance-predictor
contents/4-bridge-nas_cleaned.tex	315		sec:ch4-5-4-mixed-supervision-training
contents/4-bridge-nas_cleaned.tex	378		sec:ch4-6-building-cross-domain-embeddings
contents/4-bridge-nas_cleaned.tex	404		sec:ch4-7-progressive-transfer-nas-across-spaces
contents/4-bridge-nas_cleaned.tex	480	sec:ch4-experiment	sec:ch4-8-setup-and-results-analysis
contents/4-bridge-nas_cleaned.tex	485		sec:ch4-8-1-search-space-and-datasets
contents/4-bridge-nas_cleaned.tex	576	sec:repr-learn-exp	sec:ch4-8-2-nas-representation-learning
contents/4-bridge-nas_cleaned.tex	588	sec:nb101-exp	sec:ch4-8-3-simple-to-complex-transfer
contents/4-bridge-nas_cleaned.tex	612		sec:ch4-8-4-transfer-to-challenging-domains
contents/4-bridge-nas_cleaned.tex	652		sec:ch4-9-in-depth-analysis
contents/4-bridge-nas_cleaned.tex	654	sec:repre-space-analysis	sec:ch4-9-1-latent-embedding-space-observation
contents/4-bridge-nas_cleaned.tex	682		sec:ch4-9-2-training-data-impact
contents/4-bridge-nas_cleaned.tex	730		sec:ch4-9-3-exploring-mapping-methods
contents/4-bridge-nas_cleaned.tex	773	sec:hyperparam-analysis	sec:ch4-9-4-hyperparameter-sensitivity
contents/4-bridge-nas_cleaned.tex	807	sec:bridge-conclusion	sec:ch4-10-chapter-summary
contents/5-kg-mfto-merge_cleaned.tex	9		sec:ch5-knowledge-guided-multi-form-optimization-for-llm-fusion
contents/5-kg-mfto-merge_cleaned.tex	61		sec:ch5-1-introduction
contents/5-kg-mfto-merge_cleaned.tex	80		sec:ch5-2-problem-background-and-basics
contents/5-kg-mfto-merge_cleaned.tex	83		sec:ch5-2-1-model-fusion-and-ensemble
contents/5-kg-mfto-merge_cleaned.tex	89		sec:ch5-2-2-task-decomposition-curriculum-optimization
contents/5-kg-mfto-merge_cleaned.tex	95		sec:ch5-2-3-transfer-optimization-multi-form-methods
contents/5-kg-mfto-merge_cleaned.tex	101		sec:ch5-2-4-knowledge-guided-evolutionary-search
contents/5-kg-mfto-merge_cleaned.tex	107		sec:ch5-3-problem-definition-and-form-decomposition
contents/5-kg-mfto-merge_cleaned.tex	123		sec:ch5-4-kg-driven-theoretical-framework
contents/5-kg-mfto-merge_cleaned.tex	128		sec:ch5-4-1-dynamic-heterogeneous-kg-modeling
contents/5-kg-mfto-merge_cleaned.tex	164		sec:ch5-4-2-gnn-relational-reasoning
contents/5-kg-mfto-merge_cleaned.tex	192		sec:ch5-5-kg-mfto-algorithm-design
contents/5-kg-mfto-merge_cleaned.tex	197		sec:ch5-5-1-curriculum-design-and-format
contents/5-kg-mfto-merge_cleaned.tex	247		sec:ch5-5-2-knowledge-guided-evolutionary-solver
contents/5-kg-mfto-merge_cleaned.tex	284		sec:ch5-5-3-closed-loop-optimization-and-kg-update
contents/5-kg-mfto-merge_cleaned.tex	316		sec:ch5-5-4-practical-considerations-extensions
contents/5-kg-mfto-merge_cleaned.tex	332		sec:ch5-6-experiments-and-analysis
contents/5-kg-mfto-merge_cleaned.tex	337		sec:ch5-6-1-experimental-setup
contents/5-kg-mfto-merge_cleaned.tex	417		sec:ch5-6-2-fusion-performance-comparison
contents/5-kg-mfto-merge_cleaned.tex	472		sec:ch5-6-3-ablation-study
contents/5-kg-mfto-merge_cleaned.tex	493		sec:ch5-6-4-closed-loop-fusion-analysis
contents/5-kg-mfto-merge_cleaned.tex	504		sec:ch5-7-chapter-summary
contents/6-conclusion_cleaned.tex	5	sec:ch6-conclusion	sec:ch6-summary-and-outlook
contents/6-conclusion_cleaned.tex	8		sec:ch6-1-overall-summary
contents/6-conclusion_cleaned.tex	23		sec:ch6-2-limitations-analysis
contents/6-conclusion_cleaned.tex	38		sec:ch6-3-future-work
contents/7-appendix_cleaned.tex	4		sec:ch6-4-doctoral-publications
contents/7-appendix_cleaned.tex	29		sec:ch6-5-masters-projects
contents/7-appendix_cleaned.tex	44		sec:ch6-6-dissertation-datasets
